Precinct Number,Population
25,66
27,249
32,783
23,1235
56,1255
5,994
56,1255
56,1255
56,1255
2,462
7,753
111,1707
7,753
61,989
40,627
40,627
113,2211
56,1255
56,1255
14,379
56,1255
40,627
110,691
54,696
109,696
44,190
102,1568
66,590
101,708
56,1255
56,1255
56,1255
44,190
104,1218
1,1588
1,1588
103,715
49,18
53,596
40,627
112,1272
37,8
105,778
40,627
108,1238
40,627
107,584
106,2154
7,753
1,1588
52,701
2,462
14,379
1,1588
114,2154
30,2
209,43
53,596
53,596
33,983
8,886
201,967
8,886
8,886
8,886
33,983
52,701
202,801
14,379
38,158
203,873
7,753
208,949
204,1296
33,983
45,749
205,687
207,520
1,1588
7,753
41,836
206,1123
16,470
16,470
62,620
63,441
41,749
3,1250
3,1250
3,1250
3,1250
8,886
62,620
63,441
38,158
12,345
10,2148
34,235
1,1588
1,1588
61,989
65,1056
41,836
62,620
63,441
5,994
7,753
7,753
33,983
10,2148
10,2148
4,1278
1,1588
11,2148
11,2148
11,2148
10,2148
10,2148
34,235
12,345
7,753
10,2148
62,620
4,1278
1,1588
41,1278
7,753
7,753
1,1588
1,1588
11,2148
63,441
41,836
41,836
41,836
4,1278
38,158
4,620
4,1278
38,158
24,1048
24,1048
4,1278
38,158
2,462
16,470
39,1930
38,158
12,345
16,470
11,2148
34,235
61,989
63,441
34,235
4,1278
502,5
24,1048
5,994
10,2148
61,989
11,2148
58,612
57,159
12,345
10,2148
7,753
501,1758
43,336
18,8
42,1930
10,2148
12,345
3,1250
26,934
600,632
29,0
6,391
503,0
42,1930
42,1930
42,1930
12,345
17,444
28,1335
504,0
0,0
19,1360
19,1360
19,1360
10,2148
3,1250
58,612
6,391
64,1043
21,509
50,760
19,1360
300,1126
28,1335
28,1335
300,1126
20,314
28,1335
42,1930
17,444
47,990
64,1043
61,989
21,509
28,1335
17,444
48,704
36,2064
48,704
5,994
20,314
46,2064
36,2064
28,1335
300,1126
46,2064
300,1126
65,1056
28,1335
47,990
48,704
9,1442
9,1442
31,525
55,1016
65,1056
65,1056
400,759
61,989
6,391
9,1442
9,1442
48,704
47,990
400,759
15,1687
15,1687
26,934
901,1339
26,934
65,1056
6,391
6,391
55,1016
47,990
55,1016
55,1016
22,2064
36,2064
902,1339
19,1360
26,934
903,1339
26,934
64,1043
36,2064
13,533
55,1016
35,533
35,533
700,725
55,1016
51,1687
700,725
13,1687
60,618
59,296
60,618
51,1687
60,618
59,296
13,533
48,704
55,1016
60,618
6,391
800,621
6,391
60,618
51,1687
0,0
